,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
0,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [150]}","{""acc"": 0.9469387755102041, ""auc"": 0.9480361310454438, ""fpr"": [0.0, 0.07718282682103232, 1.0], ""tpr"": [0.0, 0.9708413001912046, 1.0], ""mcc"": 0.8948645538680697, ""tnr"": 0.9228171731789677, ""ppv"": 0.9269739844819717, ""f_score"": 0.9484006537473734, ""ap"": 0.9145904866812362, ""brier"": 0.053061224489795916, ""sensitivity"": 0.9708413001912046}"
1,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [185]}","{""acc"": 0.9464585834333733, ""auc"": 0.9475977640454739, ""fpr"": [0.0, 0.07814761215629522, 1.0], ""tpr"": [0.0, 0.9708413001912046, 1.0], ""mcc"": 0.8939437328399737, ""tnr"": 0.9218523878437048, ""ppv"": 0.9261285909712722, ""f_score"": 0.9479579929988331, ""ap"": 0.9137697437461355, ""brier"": 0.05354141656662665, ""sensitivity"": 0.9708413001912046}"
2,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [215]}","{""acc"": 0.9471788715486195, ""auc"": 0.9483420027962428, ""fpr"": [0.0, 0.07766521948866377, 1.0], ""tpr"": [0.0, 0.9717973231357553, 1.0], ""mcc"": 0.8954071455081816, ""tnr"": 0.9223347805113362, ""ppv"": 0.9266180492251596, ""f_score"": 0.948670088660756, ""ap"": 0.9146506060727922, ""brier"": 0.05282112845138055, ""sensitivity"": 0.9717973231357553}"
3,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [250]}","{""acc"": 0.9466986794717888, ""auc"": 0.9479048429158329, ""fpr"": [0.0, 0.07863000482392668, 1.0], ""tpr"": [0.0, 0.9717973231357553, 1.0], ""mcc"": 0.894487526359105, ""tnr"": 0.9213699951760733, ""ppv"": 0.9257741347905283, ""f_score"": 0.9482276119402986, ""ap"": 0.9138304922842619, ""brier"": 0.053301320528211286, ""sensitivity"": 0.9717973231357553}"
4,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [150]}","{""acc"": 0.9457382953181273, ""auc"": 0.9468111669845674, ""fpr"": [0.0, 0.07814761215629522, 1.0], ""tpr"": [0.0, 0.9694072657743786, 1.0], ""mcc"": 0.8924402119126604, ""tnr"": 0.9218523878437048, ""ppv"": 0.9260273972602739, ""f_score"": 0.9472209248014946, ""ap"": 0.9130638336688298, ""brier"": 0.05426170468187275, ""sensitivity"": 0.9694072657743786}"
5,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [185]}","{""acc"": 0.9474189675870348, ""auc"": 0.9485608597889837, ""fpr"": [0.0, 0.07718282682103232, 1.0], ""tpr"": [0.0, 0.9717973231357553, 1.0], ""mcc"": 0.895867230840174, ""tnr"": 0.9228171731789677, ""ppv"": 0.9270405836753306, ""f_score"": 0.9488914819136522, ""ap"": 0.915061223920401, ""brier"": 0.05258103241296518, ""sensitivity"": 0.9717973231357553}"
6,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [215]}","{""acc"": 0.9452581032412966, ""auc"": 0.9465050725505879, ""fpr"": [0.0, 0.08055957549445249, 1.0], ""tpr"": [0.0, 0.9708413001912046, 1.0], ""mcc"": 0.8916448912837284, ""tnr"": 0.9194404245055475, ""ppv"": 0.9240218380345769, ""f_score"": 0.9468531468531469, ""ap"": 0.9117244209858927, ""brier"": 0.05474189675870348, ""sensitivity"": 0.9708413001912046}"
7,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [250]}","{""acc"": 0.9445378151260504, ""auc"": 0.9455452593988838, ""fpr"": [0.0, 0.07863000482392668, 1.0], ""tpr"": [0.0, 0.9674952198852772, 1.0], ""mcc"": 0.8899771714096425, ""tnr"": 0.9213699951760733, ""ppv"": 0.9254686785550983, ""f_score"": 0.9460154241645244, ""ap"": 0.9117130532678466, ""brier"": 0.05546218487394958, ""sensitivity"": 0.9674952198852772}"
8,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [150]}","{""acc"": 0.9447779111644657, ""auc"": 0.9456863634199587, ""fpr"": [0.0, 0.07718282682103232, 1.0], ""tpr"": [0.0, 0.9665391969407265, 1.0], ""mcc"": 0.890363977688924, ""tnr"": 0.9228171731789677, ""ppv"": 0.9266727772685609, ""f_score"": 0.9461862423958821, ""ap"": 0.9124722846570633, ""brier"": 0.055222088835534214, ""sensitivity"": 0.9665391969407265}"
9,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.95], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [185]}","{""acc"": 0.9445378151260504, ""auc"": 0.9456715725584539, ""fpr"": [0.0, 0.08007718282682104, 1.0], ""tpr"": [0.0, 0.9689292543021033, 1.0], ""mcc"": 0.8900967368395734, ""tnr"": 0.9199228171731789, ""ppv"": 0.9243046055631555, ""f_score"": 0.9460910151691948, ""ap"": 0.9111920147133068, ""brier"": 0.05546218487394958, ""sensitivity"": 0.9689292543021033}"
