,dataid,cv,training_score,tune_param,acc,auc
0,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8821656050955414,0.8827557479146982
1,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8763269639065817,0.8768164520104552
2,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8763269639065817,0.8768164520104552
3,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8763269639065817,0.8768164520104552
4,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8832271762208068,0.8838191417666562
5,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8805732484076433,0.8809587742852629
6,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8805732484076433,0.8809587742852629
7,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8805732484076433,0.8809587742852629
8,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8832271762208068,0.8837566803424398
9,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8789808917197452,0.8795038346717533
10,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8789808917197452,0.8795038346717533
11,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8789808917197452,0.8795038346717533
12,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8832271762208068,0.8838191417666562
13,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.881104033970276,0.881975473222204
14,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.881104033970276,0.881975473222204
15,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.881104033970276,0.881975473222204
16,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8800424628450106,0.8805670460894248
17,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8752653927813163,0.8758755153742983
18,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8752653927813163,0.8758755153742983
19,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8752653927813163,0.8758755153742983
20,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8816348195329087,0.8821320711277238
21,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8805732484076433,0.8811292216001444
22,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8805732484076433,0.8811292216001444
23,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8805732484076433,0.8811292216001444
24,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8789808917197452,0.8795655663588242
25,1,0,1.0,"{'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8773885350318471,0.8778795758339089
