,dataid,cv,training_score,tune_param,acc,auc
0,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9492941515413426,0.9502175577710404
1,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.7], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9492941515413426,0.9502175577710404
2,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9491501008354941,0.949904953083578
3,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9491501008354941,0.9499264035712146
4,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.75], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9474214923653126,0.9481731533623159
5,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.75], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9474214923653126,0.9481731533623159
6,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.75], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9498703543647364,0.9505948725837264
7,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.75], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9500144050705849,0.9507496612405283
8,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9488619994237972,0.9495743511832225
9,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9488619994237972,0.9495743511832225
10,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9498703543647364,0.9506372418046191
11,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9500144050705849,0.9507708529442093
12,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.85], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9474214923653126,0.9481313258638029
13,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.85], 'lambda_l1': [0.001], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9474214923653126,0.9481313258638029
14,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.85], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [1000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9498703543647364,0.9505948725837264
15,0,0,1.0,"{'boosting_type': ['gbdt'], 'colsample_bytree': [0.85], 'lambda_l1': [0], 'learning_rate': [0.1], 'max_bin': [256], 'n_estimators': [500], 'num_iterations': [2000], 'num_leaves': [200], 'subsample_freq': [1]}",0.9500144050705849,0.9507496612405283
16,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [12], 'num_iterations': [1000], 'num_leaves': [80]}",0.8651804670912951,0.8652678140654803
17,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [12], 'num_iterations': [1000], 'num_leaves': [100]}",0.8609341825902336,0.8609792385203219
18,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [12], 'num_iterations': [1000], 'num_leaves': [120]}",0.8678343949044586,0.8678898100192178
19,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [12], 'num_iterations': [1000], 'num_leaves': [150]}",0.868895966029724,0.8689084485216637
20,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [12], 'num_iterations': [1000], 'num_leaves': [200]}",0.8720806794055201,0.8720933377661823
21,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [13], 'num_iterations': [1000], 'num_leaves': [80]}",0.8651804670912951,0.8651885210429515
22,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [13], 'num_iterations': [1000], 'num_leaves': [100]}",0.863588110403397,0.8636111590101466
23,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [13], 'num_iterations': [1000], 'num_leaves': [120]}",0.8657112526539278,0.8657105378520403
24,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [13], 'num_iterations': [1000], 'num_leaves': [150]}",0.8699575371549894,0.8700344590870203
25,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [13], 'num_iterations': [1000], 'num_leaves': [200]}",0.8667728237791932,0.8667731629392972
26,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [14], 'num_iterations': [1000], 'num_leaves': [80]}",0.8662420382165605,0.8662594387467598
27,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [14], 'num_iterations': [1000], 'num_leaves': [100]}",0.868895966029724,0.8689194991902244
28,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [14], 'num_iterations': [1000], 'num_leaves': [120]}",0.8683651804670913,0.8683733636265282
29,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [14], 'num_iterations': [1000], 'num_leaves': [150]}",0.8715498938428875,0.8715520855402842
30,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [14], 'num_iterations': [1000], 'num_leaves': [200]}",0.8694267515923567,0.8694925876496898
31,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [15], 'num_iterations': [1000], 'num_leaves': [80]}",0.8715498938428875,0.8715520855402842
32,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [15], 'num_iterations': [1000], 'num_leaves': [100]}",0.8657112526539278,0.8657662633355688
33,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [15], 'num_iterations': [1000], 'num_leaves': [120]}",0.8699575371549894,0.8699955930900554
34,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [15], 'num_iterations': [1000], 'num_leaves': [150]}",0.8683651804670913,0.868395426840264
35,1,0,1.0,"{'colsample_bytree': [1], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [15], 'num_iterations': [1000], 'num_leaves': [200]}",0.8699575371549894,0.8699623255599044
36,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [500], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
37,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
38,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [2000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
39,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.01], 'min_data_in_leaf': [20], 'num_iterations': [500], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
40,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.01], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
41,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.01], 'min_data_in_leaf': [20], 'num_iterations': [2000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
42,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.1], 'min_data_in_leaf': [20], 'num_iterations': [500], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
43,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.1], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
44,2,0,0.8981481481481481,"{'colsample_bytree': [0.7], 'lambda_l1': [0], 'learning_rate': [0.1], 'min_data_in_leaf': [20], 'num_iterations': [2000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
45,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [500], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
46,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
47,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [2000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
48,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.01], 'min_data_in_leaf': [20], 'num_iterations': [500], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
49,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.01], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
50,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.01], 'min_data_in_leaf': [20], 'num_iterations': [2000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
51,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.1], 'min_data_in_leaf': [20], 'num_iterations': [500], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
52,2,0,0.8981481481481481,"{'colsample_bytree': [0.8], 'lambda_l1': [0], 'learning_rate': [0.1], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [50]}",0.8827160493827161,0.8883330768046791
