iter	Logloss
0	0.6855021468
1	0.6786382486
2	0.6720160265
3	0.6656769109
4	0.6590787818
5	0.653154519
6	0.6470880072
7	0.6417143969
8	0.6364820089
9	0.6311550425
10	0.6264983184
11	0.6216464325
12	0.6170615777
13	0.6122169065
14	0.6076936832
15	0.603474186
16	0.5993346213
17	0.5950882715
18	0.5913968703
19	0.5873965101
20	0.5839041162
21	0.5806958271
22	0.5779175394
23	0.5745902065
24	0.5709249834
25	0.568015099
26	0.5645669236
27	0.5613594587
28	0.5586650686
29	0.5555707801
30	0.5527098981
31	0.5499762208
32	0.5472609875
33	0.5445622226
34	0.5421035177
35	0.5397482278
36	0.5376309507
37	0.5350905094
38	0.5331712022
39	0.5303119831
40	0.5283959649
41	0.5267731773
42	0.5245311641
43	0.5217487802
44	0.5194342514
45	0.5173148885
46	0.5157479517
47	0.5138905729
48	0.5125195063
49	0.5101647172
50	0.5082360318
51	0.5063513465
52	0.5051040857
53	0.5038271967
54	0.5018829435
55	0.500513679
56	0.4993029127
57	0.4978482811
58	0.4966717826
59	0.4953844754
60	0.493862326
61	0.4920393962
62	0.4907827807
63	0.4890137228
64	0.4875390321
65	0.4857134944
66	0.4841129948
67	0.4829102014
68	0.481993252
69	0.480954808
70	0.4795969723
71	0.4782869801
72	0.4771661791
73	0.4758991169
74	0.474884222
75	0.4741380154
76	0.4728890776
77	0.4718068232
78	0.4707723702
79	0.4700967804
80	0.4690807845
81	0.4680848836
82	0.4671462323
83	0.4660007221
84	0.4649148751
85	0.4637086247
86	0.4628832667
87	0.4623198997
88	0.461254451
89	0.4601153404
90	0.4589812788
91	0.4581554655
92	0.4573546545
93	0.4563379314
94	0.4554036605
95	0.454688977
96	0.4538075707
97	0.4530080835
98	0.4517073322
99	0.450923355
100	0.4505483415
101	0.449353517
102	0.4486579926
103	0.447787717
104	0.4474064526
105	0.4469246052
106	0.4464315428
107	0.4457997194
108	0.4449779703
109	0.4443572091
110	0.4436183366
111	0.442749142
112	0.4417506427
113	0.4413632699
114	0.4407300876
115	0.4400142805
116	0.4390080163
117	0.4383774706
118	0.4377627005
119	0.4368843089
120	0.4361645546
121	0.4351539469
122	0.4343997468
123	0.4339135119
124	0.4333272427
125	0.4325135299
126	0.4318031753
127	0.4312012097
128	0.4306598992
129	0.4293122087
130	0.4285388301
131	0.4279567095
132	0.4269469894
133	0.4266041576
134	0.4258961183
135	0.4250959907
136	0.4245931906
137	0.4238369287
138	0.4233640611
139	0.4227531123
140	0.4221509572
141	0.4218380585
142	0.4213321959
143	0.4206582354
144	0.4204124485
145	0.4197945666
146	0.4193828127
147	0.4189793359
148	0.418630006
149	0.4176362561
150	0.4168004977
151	0.4163334648
152	0.4162737964
153	0.4156584753
154	0.4154222123
155	0.4149412686
156	0.4146798377
157	0.4142037584
158	0.4138005623
159	0.413191154
160	0.4127034375
161	0.4121437992
162	0.4118524983
163	0.4112548028
164	0.4105715885
165	0.4098529137
166	0.4092273533
167	0.4087366153
168	0.4084977567
169	0.408142151
170	0.4078217518
171	0.4075212264
172	0.4068302321
173	0.4066109722
174	0.4063601278
175	0.4060050401
176	0.4054696462
177	0.4050986396
178	0.4049662131
179	0.4041173434
180	0.4036907783
181	0.4032877362
182	0.4029992932
183	0.4024666745
184	0.4018874053
185	0.4013095728
186	0.4008990182
187	0.4007222985
188	0.4004702403
189	0.3999299839
190	0.3997947475
191	0.3994183927
192	0.3990042852
193	0.3984357656
194	0.3981050851
195	0.397793409
196	0.3969874191
197	0.3965826548
198	0.3961163301
199	0.3959604499
200	0.3955858211
201	0.3952685264
202	0.394565135
203	0.394323379
204	0.3936210476
205	0.39327395
206	0.3930746717
207	0.3927206237
208	0.3922841287
209	0.3916206665
210	0.3908396198
211	0.3906167165
212	0.3901504903
213	0.3899940368
214	0.3896518599
215	0.388884274
216	0.3887476723
217	0.388577824
218	0.3884260118
219	0.3879156339
220	0.3876985935
221	0.3873463306
222	0.3872507998
223	0.3869048041
224	0.3866689181
225	0.3863364169
226	0.3860396538
227	0.3855404115
228	0.3851886222
229	0.3845798436
230	0.3842004064
231	0.3835532089
232	0.3833442026
233	0.3831696815
234	0.3829318236
235	0.3825921864
236	0.3825501507
237	0.3823586797
238	0.3819621618
239	0.3817899396
240	0.3816090296
241	0.38106255
242	0.3806334574
243	0.3803932093
244	0.3800214601
245	0.3799280551
246	0.3796414597
247	0.3790315205
248	0.3786624107
249	0.3783028466
250	0.3778638232
251	0.3776269246
252	0.3773751468
253	0.3771677509
254	0.3770159203
255	0.3768760586
256	0.3765461931
257	0.3762647415
258	0.3759184783
259	0.3754827015
260	0.3751052458
261	0.3747155773
262	0.3742808974
263	0.374158577
264	0.3740062637
265	0.3736103862
266	0.3729724863
267	0.3724739215
268	0.3719478213
269	0.3714632614
270	0.3709491119
271	0.3707644889
272	0.3705963784
273	0.3704867967
274	0.370383332
275	0.369955377
276	0.3697292505
277	0.3695725191
278	0.3693352105
279	0.3689974791
280	0.3685668419
281	0.3682317426
282	0.3679779503
283	0.3679450848
284	0.3677941725
285	0.3675227595
286	0.3671535321
287	0.3669234073
288	0.3668276246
289	0.366639837
290	0.3663407106
291	0.3661318151
292	0.3659665493
293	0.3658571299
294	0.3656734423
295	0.3652926926
296	0.3651152722
297	0.3647146298
298	0.3645104896
299	0.3642826677
300	0.364217738
301	0.3640743136
302	0.3635165813
303	0.3631190381
304	0.3627035569
305	0.3626428217
306	0.3623403157
307	0.3619720903
308	0.3615059702
309	0.3610906108
310	0.3608748116
311	0.3608181246
312	0.3606820289
313	0.3603094537
314	0.3601989303
315	0.3599034325
316	0.3597527884
317	0.3593971128
318	0.3592896905
319	0.3590395352
320	0.3586616067
321	0.358284492
322	0.3579836497
323	0.3579056191
324	0.3578611638
325	0.3576964702
326	0.3575989478
327	0.3573982633
328	0.3570942606
329	0.3565936251
330	0.3562158474
331	0.3560342016
332	0.3557103827
333	0.3554609611
334	0.3550621741
335	0.3546998616
336	0.3545054757
337	0.3542335758
338	0.3539586125
339	0.3538652412
340	0.3537474452
341	0.3530973231
342	0.3529831849
343	0.3528027918
344	0.3525773219
345	0.3523745821
346	0.3521490778
347	0.3519432159
348	0.3517008162
349	0.3513675907
350	0.3509342571
351	0.3506223666
352	0.3504358108
353	0.3497804217
354	0.3496713406
355	0.3493035545
356	0.349003799
357	0.3487356493
358	0.3486650533
359	0.3483576951
360	0.3481636005
361	0.3480087719
362	0.347725537
363	0.347479641
364	0.3473837699
365	0.3468923812
366	0.3468033034
367	0.3465705169
368	0.3462982277
369	0.3456070318
370	0.3452589259
371	0.3450944868
372	0.3446499363
373	0.3445338744
374	0.3443140164
375	0.3442764196
376	0.344100712
377	0.3438308333
378	0.3434518013
379	0.3434128576
380	0.3430187281
381	0.3426731058
382	0.3421627634
383	0.3419784291
384	0.341719479
385	0.3413348723
386	0.3412185732
387	0.3407479253
388	0.3401980627
389	0.3397800342
390	0.3394165006
391	0.3393626475
392	0.3392710366
393	0.3389702639
394	0.3386510607
395	0.3383877003
396	0.3377237635
397	0.3373919698
398	0.3373554412
399	0.337311577
400	0.337011894
401	0.3368862785
402	0.3364064159
403	0.3361992179
404	0.3359642526
405	0.3357915943
406	0.335560425
407	0.3352003814
408	0.3350199451
409	0.3347038848
410	0.3342279185
411	0.3338925282
412	0.3337490943
413	0.3336764158
414	0.3334428016
415	0.3331621644
416	0.3330014271
417	0.3326922772
418	0.3324128639
419	0.3320243754
420	0.3317445728
421	0.3315945054
422	0.3314693703
423	0.3312105679
424	0.3310684261
425	0.3307994189
426	0.3303431254
427	0.3298580584
428	0.3294689479
429	0.3291960846
430	0.3290628554
431	0.3287787444
432	0.3284625703
433	0.3281356838
434	0.3281065476
435	0.3280447789
436	0.3279353958
437	0.327687481
438	0.3274051477
439	0.3268944764
440	0.3266743141
441	0.3260877205
442	0.3258614031
443	0.3256310069
444	0.3255911863
445	0.3253485347
446	0.3249869755
447	0.3246739522
448	0.3241340319
449	0.3238752991
450	0.323802302
451	0.3234276605
452	0.3229803604
453	0.3222586722
454	0.3221899662
455	0.3215050446
456	0.3211961473
457	0.3208365877
458	0.320481367
459	0.3201728047
460	0.319935847
461	0.3198167651
462	0.3195952807
463	0.3194920084
464	0.3194537985
465	0.319315822
466	0.3191072121
467	0.3190533619
468	0.3187718577
469	0.3184859284
470	0.3181262089
471	0.3177476371
472	0.3177099221
473	0.3172565403
474	0.3171872071
475	0.3170135057
476	0.3167682359
477	0.3165220502
478	0.3159978
479	0.3159648411
480	0.3159152067
481	0.3156391917
482	0.3155843286
483	0.3154879844
484	0.3153059471
485	0.3152767541
486	0.3151502271
487	0.3149481277
488	0.3147312915
489	0.3144513194
490	0.3144144758
491	0.3142831358
492	0.3141163685
493	0.3140740611
494	0.3140396079
495	0.3139952829
496	0.3137413568
497	0.3133830947
498	0.313211722
499	0.3128603147
500	0.3128356989
501	0.3128101801
502	0.3126972401
503	0.3126257164
504	0.3120791159
505	0.3118140266
506	0.3116878412
507	0.3116068759
508	0.3115592701
509	0.3111990182
510	0.3106195714
511	0.3104103336
512	0.309957918
513	0.3099355638
514	0.3097216146
515	0.3094035452
516	0.3088667723
517	0.3085655127
518	0.3082413272
519	0.3080803011
520	0.3078420684
521	0.3075140367
522	0.307096044
523	0.3066978565
524	0.3064600548
525	0.305839923
526	0.3055182902
527	0.3053497334
528	0.30531367
529	0.3052786706
530	0.3050318616
531	0.3046846403
532	0.3042631909
533	0.3039820685
534	0.3037102681
535	0.3031430792
536	0.302822137
537	0.3024785529
538	0.3021843619
539	0.3019368462
540	0.3018883799
541	0.3014630113
542	0.3014337688
543	0.3009826521
544	0.3005717794
545	0.3005069375
546	0.3002468861
547	0.2997908627
548	0.2997481915
549	0.2994537688
550	0.2994249797
551	0.299071374
552	0.2989940097
553	0.2989618437
554	0.2985471614
555	0.2983326587
556	0.2975892442
557	0.2970306239
558	0.2969749221
559	0.2967507713
560	0.2967055425
561	0.2961736574
562	0.2959811744
563	0.2955126874
564	0.2954776734
565	0.2954443787
566	0.2954069739
567	0.295372423
568	0.2949829444
569	0.2949552039
570	0.2944932146
571	0.2940992721
572	0.2940420003
573	0.2937641157
574	0.2934513347
575	0.2933962793
576	0.2933621631
577	0.293329133
578	0.2926935635
579	0.2926606043
580	0.2920148389
581	0.291756538
582	0.2911904368
583	0.2909102159
584	0.2904131919
585	0.2899727734
586	0.2895813642
587	0.2892812865
588	0.2892490934
589	0.2890542828
590	0.2890234549
591	0.2889951898
592	0.288432556
593	0.2882083206
594	0.2881745034
595	0.2881432227
596	0.2881125079
597	0.2880789859
598	0.2880465215
599	0.2880172862
600	0.287988607
601	0.287506919
602	0.2874761054
603	0.287086755
604	0.2866911056
605	0.2866564246
606	0.2864240336
607	0.2860501538
608	0.2860195964
609	0.2859928168
610	0.2857002665
611	0.2853227914
612	0.2850251998
613	0.2846999422
614	0.2842857229
615	0.2839926184
616	0.2839657334
617	0.2838108033
618	0.283244104
619	0.2832111605
620	0.2828595155
621	0.2825911084
622	0.2825654336
623	0.2825386892
624	0.2825116636
625	0.2820891901
626	0.2818229285
627	0.2812857326
628	0.2810496426
629	0.2808071035
630	0.280510219
631	0.2802532304
632	0.2799842453
633	0.2796490279
634	0.2795634262
635	0.2793477147
636	0.2791608903
637	0.278936879
638	0.2786470554
639	0.2786005479
640	0.2783114629
641	0.2777619065
642	0.2773337062
643	0.277007649
644	0.2767704737
645	0.276491803
646	0.2764681164
647	0.2760380899
648	0.2758248364
649	0.2757982421
650	0.2755711121
651	0.2755396183
652	0.2751963315
653	0.2751694148
654	0.2748588442
655	0.2748303505
656	0.2745553253
657	0.2745295633
658	0.27450353
659	0.2743349559
660	0.2739054486
661	0.2735923676
662	0.2735611337
663	0.2733009516
664	0.2732801463
665	0.273253718
666	0.2731959345
667	0.2729132365
668	0.2726110198
669	0.2725794685
670	0.2721802656
671	0.2721557289
672	0.2721363963
673	0.2717534838
674	0.2717293894
675	0.2716880058
676	0.2715030878
677	0.2709943874
678	0.2706994047
679	0.2703909384
680	0.270059903
681	0.2700123715
682	0.2699879716
683	0.2696421249
684	0.2695909482
685	0.269567066
686	0.2695432757
687	0.2692458021
688	0.2690314398
689	0.2688245305
690	0.2687510518
691	0.2687247886
692	0.2686854104
693	0.2683569018
694	0.2679170963
695	0.2676537602
696	0.2673832866
697	0.2671361447
698	0.2666907502
699	0.2664393052
700	0.2660037852
701	0.265710995
702	0.2653398599
703	0.265159791
704	0.2649411491
705	0.2644213646
706	0.2642582353
707	0.2642004925
708	0.2639679084
709	0.2636301112
710	0.2636101297
711	0.2633341685
712	0.262989901
713	0.2625886252
714	0.2621324289
715	0.2621038546
716	0.2617869572
717	0.2615682385
718	0.2613300907
719	0.261095582
720	0.2610733583
721	0.260727281
722	0.2604230422
723	0.2601164153
724	0.2597731769
725	0.2595848133
726	0.2595497484
727	0.2595291806
728	0.2592898748
729	0.259035846
730	0.2587473857
731	0.2587261024
732	0.2583982936
733	0.2582019061
734	0.2579735595
735	0.2577320831
736	0.257540419
737	0.2575146066
738	0.2572489133
739	0.2569843286
740	0.2566234356
741	0.2564108744
742	0.2561619388
743	0.2561415647
744	0.2557836215
745	0.2554511243
746	0.2551299625
747	0.2549111999
748	0.2548929779
749	0.254767969
750	0.2544226414
751	0.2540446844
752	0.2538444117
753	0.2534494524
754	0.2533901035
755	0.2533704475
756	0.2531218625
757	0.252894031
758	0.2526305609
759	0.252421971
760	0.25226003
761	0.2522415239
762	0.2519392728
763	0.2516424537
764	0.2514054945
765	0.251074979
766	0.250622155
767	0.2502886247
768	0.2500546968
769	0.2499907964
770	0.2497875566
771	0.2497684758
772	0.249704889
773	0.2494638889
774	0.249445929
775	0.2491296731
776	0.2487757325
777	0.2486030789
778	0.2485846736
779	0.2483056309
780	0.2482691389
781	0.2480810879
782	0.2478992078
783	0.2475804572
784	0.2472273777
785	0.2469984982
786	0.2466649279
787	0.2464779403
788	0.2462762009
789	0.2462564421
790	0.2460573099
791	0.2457242793
792	0.2454632858
793	0.2450215659
794	0.2447863191
795	0.2445759492
796	0.2444111988
797	0.2439754973
798	0.2437688962
799	0.2433578367
800	0.243185011
801	0.2431692635
802	0.2427928825
803	0.2426176089
804	0.2423338021
805	0.2420003515
806	0.2415789609
807	0.2413933158
808	0.2411917728
809	0.2408122202
810	0.240427314
811	0.2401286571
812	0.2399148728
813	0.2396100115
814	0.239480328
815	0.2392537408
816	0.2390069068
817	0.2389600844
818	0.2388781436
819	0.2386987765
820	0.2386746917
821	0.2386580247
822	0.2382388048
823	0.2380838264
824	0.2378161072
825	0.2375847724
826	0.2375326194
827	0.2372729538
828	0.2370903251
829	0.2368042197
830	0.2365135644
831	0.2364977853
832	0.2362652918
833	0.2360558873
834	0.2358348348
835	0.235816095
836	0.2356398212
837	0.2355014285
838	0.2351122935
839	0.2350574709
840	0.2349926806
841	0.2349760627
842	0.2349586123
843	0.234911101
844	0.234743385
845	0.234677606
846	0.2344706041
847	0.2342886466
848	0.234120793
849	0.233939514
850	0.2339237372
851	0.2338683872
852	0.2337386306
853	0.2334943123
854	0.2332876129
855	0.233225967
856	0.2328087505
857	0.2326549929
858	0.2325289748
859	0.2323658297
860	0.2322878346
861	0.2322706759
862	0.2319170314
863	0.2314876591
864	0.2314706689
865	0.2313269014
866	0.2310802386
867	0.230922217
868	0.2305397773
869	0.2302399424
870	0.2300116239
871	0.2298387371
872	0.2296442788
873	0.2292797864
874	0.2290245424
875	0.2289006187
876	0.2287034482
877	0.2284981731
878	0.2282067715
879	0.2279328576
880	0.2276335774
881	0.2276150728
882	0.2275986253
883	0.2275841706
884	0.2273864959
885	0.2272848658
886	0.2272546587
887	0.227239018
888	0.2270732802
889	0.2269089834
890	0.2267024655
891	0.2266724894
892	0.2262480373
893	0.2258824867
894	0.225850493
895	0.2257392295
896	0.2255162706
897	0.225314967
898	0.2249845322
899	0.2247135054
900	0.2245371847
901	0.2245233178
902	0.2243563814
903	0.2243242049
904	0.2240938082
905	0.2239597007
906	0.2238642396
907	0.2234449569
908	0.2233099727
909	0.2232954046
910	0.2232823158
911	0.2232439442
912	0.2230617916
913	0.2229281974
914	0.2226111629
915	0.2224132959
916	0.2223792925
917	0.222363585
918	0.2221899017
919	0.222068018
920	0.221863732
921	0.221711792
922	0.2215234114
923	0.2215062242
924	0.2212761631
925	0.2211045023
926	0.2208628597
927	0.2206099805
928	0.2203844573
929	0.2201809505
930	0.2199683378
931	0.2199138675
932	0.2197393225
933	0.2195315206
934	0.219194854
935	0.2189672342
936	0.2189513876
937	0.2188083324
938	0.2186428133
939	0.2185484467
940	0.2183791987
941	0.2181755978
942	0.2179552613
943	0.2179093536
944	0.2177651973
945	0.2174733495
946	0.2171524588
947	0.2168899525
948	0.216739358
949	0.2165597867
950	0.2164227221
951	0.2163912896
952	0.2163056076
953	0.2161161198
954	0.2157983149
955	0.2157846608
956	0.2155537223
957	0.2153712796
958	0.2149626056
959	0.2146971136
960	0.2146346025
961	0.2144281952
962	0.2142053744
963	0.2139737942
964	0.2139621263
965	0.2137306209
966	0.2135772417
967	0.2132805364
968	0.2130654737
969	0.21275268
970	0.2126046888
971	0.2124273341
972	0.2122453206
973	0.2119104413
974	0.2118942785
975	0.211855129
976	0.2115760817
977	0.2115370613
978	0.2113619508
979	0.211112434
980	0.2110882601
981	0.2110046209
982	0.2109908424
983	0.2108710046
984	0.2107162743
985	0.210527511
986	0.2103566947
987	0.2102509094
988	0.2102119065
989	0.2100209618
990	0.210008211
991	0.2097695988
992	0.2095688411
993	0.2093154611
994	0.2090254484
995	0.2087736368
996	0.2086143139
997	0.2084441381
998	0.2082954606
999	0.2081506602
