iter	Passed	Remaining
0	48	48030
1	90	45250
2	133	44436
3	179	44627
4	220	43965
5	262	43528
6	302	42932
7	346	42930
8	392	43249
9	438	43460
10	486	43723
11	532	43857
12	578	43901
13	619	43615
14	667	43824
15	714	43933
16	762	44070
17	807	44077
18	853	44050
19	896	43915
20	941	43911
21	1000	44491
22	1049	44593
23	1097	44615
24	1138	44416
25	1187	44474
26	1236	44568
27	1279	44432
28	1318	44149
29	1363	44090
30	1413	44190
31	1454	44000
32	1497	43880
33	1540	43757
34	1581	43615
35	1626	43561
36	1672	43537
37	1716	43467
38	1761	43398
39	1803	43292
40	1850	43284
41	1897	43280
42	1943	43260
43	1985	43147
44	2029	43079
45	2076	43065
46	2127	43147
47	2186	43357
48	2240	43490
49	2285	43419
50	2328	43321
51	2369	43199
52	2415	43159
53	2461	43128
54	2508	43107
55	2551	43015
56	2595	42933
57	2643	42929
58	2686	42854
59	2733	42820
60	2776	42736
61	2818	42645
62	2863	42581
63	2905	42498
64	2949	42424
65	2991	42341
66	3034	42254
67	3080	42214
68	3125	42177
69	3173	42167
70	3223	42172
71	3270	42151
72	3329	42273
73	3379	42285
74	3431	42317
75	3471	42203
76	3514	42123
77	3556	42038
78	3597	41936
79	3639	41855
80	3683	41786
81	3730	41759
82	3773	41686
83	3815	41605
84	3859	41544
85	3910	41556
86	3958	41541
87	4000	41458
88	4044	41394
89	4088	41336
90	4135	41313
91	4179	41246
92	4224	41204
93	4267	41133
94	4312	41079
95	4356	41027
96	4407	41030
97	4457	41022
98	4514	41085
99	4563	41070
100	4608	41017
101	4658	41014
102	4709	41011
103	4752	40948
104	4792	40851
105	4834	40776
106	4878	40713
107	4927	40700
108	4971	40635
109	5012	40556
110	5057	40509
111	5098	40426
112	5141	40360
113	5189	40329
114	5236	40295
115	5278	40225
116	5322	40170
117	5371	40147
118	5415	40093
119	5460	40042
120	5504	39983
121	5547	39926
122	5589	39851
123	5643	39868
124	5693	39855
125	5741	39825
126	5780	39734
127	5822	39662
128	5862	39581
129	5911	39562
130	5961	39549
131	6004	39483
132	6043	39399
133	6086	39337
134	6128	39265
135	6178	39252
136	6226	39221
137	6267	39149
138	6307	39073
139	6352	39022
140	6397	38976
141	6440	38914
142	6483	38852
143	6523	38778
144	6563	38702
145	6607	38652
146	6658	38637
147	6700	38573
148	6744	38521
149	6804	38559
150	6854	38539
151	6908	38540
152	6952	38487
153	6997	38442
154	7038	38373
155	7077	38292
156	7121	38238
157	7165	38186
158	7211	38143
159	7253	38078
160	7296	38021
161	7339	37965
162	7407	38039
163	7473	38097
164	7536	38139
165	7580	38087
166	7630	38060
167	7693	38101
168	7766	38191
169	7821	38186
170	7872	38167
171	7923	38145
172	7982	38157
173	8029	38117
174	8073	38059
175	8115	37994
176	8154	37918
177	8201	37875
178	8249	37837
179	8297	37801
180	8377	37905
181	8418	37836
182	8457	37758
183	8501	37704
184	8545	37648
185	8587	37580
186	8631	37527
187	8672	37456
188	8719	37414
189	8764	37364
190	8804	37292
191	8846	37229
192	8891	37177
193	8939	37139
194	8984	37089
195	9028	37036
196	9071	36975
197	9134	36997
198	9187	36981
199	9238	36955
200	9280	36889
201	9329	36857
202	9377	36815
203	9417	36745
204	9457	36677
205	9498	36609
206	9541	36553
207	9581	36485
208	9623	36422
209	9669	36373
210	9718	36340
211	9765	36297
212	9809	36246
213	9854	36195
214	9901	36151
215	9948	36110
216	9991	36054
217	10032	35989
218	10074	35926
219	10117	35870
220	10163	35823
221	10208	35774
222	10260	35749
223	10316	35738
224	10372	35726
225	10415	35670
226	10457	35609
227	10496	35542
228	10542	35493
229	10582	35428
230	10627	35377
231	10675	35340
232	10714	35271
233	10761	35227
234	10806	35177
235	10848	35121
236	10899	35089
237	10943	35039
238	10991	34997
239	11035	34944
240	11079	34894
241	11124	34844
242	11177	34820
243	11224	34777
244	11267	34723
245	11312	34673
246	11359	34630
247	11413	34607
248	11464	34577
249	11517	34553
250	11564	34508
251	11605	34448
252	11648	34393
253	11691	34338
