,DATAID,test_score,train_score,RNA_K,PROTEIN_K,TOP_RATIO
0,0,"{'acc': 0.9452581032412966, 'auc': 0.9460157502197405, 'fpr': array([0.        , 0.07869934, 1.        ]), 'tpr': array([0.        , 0.97014195, 1.        ]), 'mcc': 0.8917370055427634, 'tnr': 0.9213006597549481, 'ppv': 0.9222894369474174, 'f_score': 0.9456106870229007, 'ap': 0.9093975294298675, 'brier': 0.05474189675870348, 'sensitivity': 0.9701419481155164}",1.0,3,3,0.93
1,0,"{'acc': 0.9517406962785114, 'auc': 0.9522657406484527, 'fpr': array([0.        , 0.06958157, 1.        ]), 'tpr': array([0.        , 0.97399411, 1.        ]), 'mcc': 0.9044720094871532, 'tnr': 0.9304184297132111, 'ppv': 0.9306141584622597, 'f_score': 0.9518101174778231, 'ap': 0.9191378008051928, 'brier': 0.048259303721488594, 'sensitivity': 0.9739941118743867}",1.0,3,3,0.9450000000000001
2,0,"{'acc': 0.9505402160864346, 'auc': 0.951716911507771, 'fpr': array([0.        , 0.07309942, 1.        ]), 'tpr': array([0.       , 0.9734974, 1.       ]), 'mcc': 0.9019146251105239, 'tnr': 0.9269005847953217, 'ppv': 0.9320344358858178, 'f_score': 0.9523148148148148, 'ap': 0.9207784754617798, 'brier': 0.049459783913565425, 'sensitivity': 0.9734973970657832}",1.0,3,3,0.96
3,0,"{'acc': 0.9476590636254502, 'auc': 0.9482905722469377, 'fpr': array([0.        , 0.07241544, 1.        ]), 'tpr': array([0.        , 0.96805421, 1.        ]), 'mcc': 0.8961098359268012, 'tnr': 0.9275845640781324, 'ppv': 0.929368029739777, 'f_score': 0.948316737790422, 'ap': 0.9155249733270666, 'brier': 0.05234093637454982, 'sensitivity': 0.968054211035818}",1.0,3,3,0.975
4,0,"{'acc': 0.9454981992797119, 'auc': 0.9466965544334806, 'fpr': array([0.        , 0.08182683, 1.        ]), 'tpr': array([0.       , 0.9733398, 1.       ]), 'mcc': 0.8924525417294412, 'tnr': 0.9181731684110371, 'ppv': 0.9211009174311927, 'f_score': 0.9465001178411502, 'ap': 0.9097494615611413, 'brier': 0.05450180072028812, 'sensitivity': 0.9733397964129908}",1.0,3,3,0.99
5,0,"{'acc': 0.948859543817527, 'auc': 0.9498617814333945, 'fpr': array([0.        , 0.07360775, 1.        ]), 'tpr': array([0.        , 0.97095238, 1.        ]), 'mcc': 0.8985333105198385, 'tnr': 0.9263922518159806, 'ppv': 0.9306252852578731, 'f_score': 0.9503612211605685, 'ap': 0.9182386948389579, 'brier': 0.05114045618247299, 'sensitivity': 0.9709523809523809}",1.0,3,4,0.93
6,0,"{'acc': 0.9531812725090036, 'auc': 0.9542161070086282, 'fpr': array([0.       , 0.0684262, 1.       ]), 'tpr': array([0.        , 0.97404436, 1.        ]), 'mcc': 0.9070240972262844, 'tnr': 0.9315738025415444, 'ppv': 0.9364791288566243, 'f_score': 0.9548924358084663, 'ap': 0.9253774963460082, 'brier': 0.0468187274909964, 'sensitivity': 0.974044360547428}",1.0,3,4,0.9450000000000001
7,0,"{'acc': 0.9483793517406963, 'auc': 0.9494744216370689, 'fpr': array([0.        , 0.07452509, 1.        ]), 'tpr': array([0.        , 0.97064394, 1.        ]), 'mcc': 0.8975327333177499, 'tnr': 0.9254749147588894, 'ppv': 0.9305492510213346, 'f_score': 0.9501738122827348, 'ap': 0.9181179451931807, 'brier': 0.05162064825930372, 'sensitivity': 0.9706439393939394}",1.0,3,4,0.96
8,0,"{'acc': 0.9495798319327731, 'auc': 0.950637245181661, 'fpr': array([0.        , 0.07482014, 1.        ]), 'tpr': array([0.        , 0.97403846, 1.        ]), 'mcc': 0.9002458169681127, 'tnr': 0.9251798561151079, 'ppv': 0.928505957836847, 'f_score': 0.9507273580478649, 'ap': 0.9173657007751278, 'brier': 0.05042016806722689, 'sensitivity': 0.9740384615384615}",1.0,3,4,0.975
9,0,"{'acc': 0.9524609843937575, 'auc': 0.9533397473993941, 'fpr': array([0.        , 0.07234043, 1.        ]), 'tpr': array([0.        , 0.97804878, 1.        ]), 'mcc': 0.9061937947847842, 'tnr': 0.9276595744680851, 'ppv': 0.9291010194624653, 'f_score': 0.9529467680608366, 'ap': 0.9195104407639318, 'brier': 0.0475390156062425, 'sensitivity': 0.9780487804878049}",1.0,3,4,0.99
