DATAID,PROTEIN_K,RNA_K,acc,auc
0,3,3,0.9517406962785114,0.9522657406484527
0,3,4,0.9546218487394958,0.9549443579542178
0,3,5,0.9510204081632653,0.9516640288321164
0,3,6,0.9500600240096039,0.950587141312008
0,4,3,0.9531812725090036,0.9542161070086282
0,4,4,0.9507803121248499,0.9516220135126578
0,4,5,0.9507803121248499,0.9516889301667494
0,4,6,0.9510204081632653,0.9513954043241313
0,5,3,0.9507803121248499,0.9515295041413492
0,5,4,0.9546218487394958,0.9555911472155126
0,5,5,0.9572629051620648,0.9578740883886694
0,5,6,0.948859543817527,0.9497185816979867
0,6,3,0.9503001200480192,0.9523404075886875
0,6,4,0.9529411764705882,0.954185889095716
0,6,5,0.9543817527010804,0.955920200104557
0,6,6,0.9498199279711885,0.9512588552502803
1,3,3,0.9035398230088496,0.9035567501190388
1,3,4,0.8938053097345132,0.8938331704383129
1,3,5,0.8893805309734514,0.8889310630395504
1,3,6,0.8991150442477877,0.8991826978801519
1,4,3,0.9017699115044248,0.9017436469349907
1,4,4,0.8840707964601769,0.8842853740473324
1,4,5,0.8849557522123894,0.8859433962264152
1,4,6,0.8743362831858407,0.8747327044025157
1,5,3,0.8831858407079646,0.8844287979462399
1,5,4,0.8805309734513275,0.8806407942238267
1,5,5,0.8778761061946903,0.8778058007566204
1,5,6,0.8814159292035398,0.8811916242899352
1,6,3,0.8752212389380531,0.875297619047619
1,6,4,0.8814159292035398,0.8815203761755487
1,6,5,0.879646017699115,0.8802182758967145
1,6,6,0.8690265486725663,0.8692404268675454
2,3,3,0.8979591836734694,0.9070175438596491
2,3,4,0.8469387755102041,0.8508771929824561
2,3,5,0.8877551020408163,0.8873150105708245
2,3,6,0.8979591836734694,0.9031986531986532
2,4,3,0.9183673469387755,0.919314381270903
2,4,4,0.9387755102040817,0.9327586206896551
2,4,5,0.8673469387755102,0.8724467622772707
2,4,6,0.8673469387755102,0.8716701902748414
2,5,3,0.826530612244898,0.8214285714285714
2,5,4,0.8979591836734694,0.9000836120401339
2,5,5,0.826530612244898,0.82996632996633
2,5,6,0.8775510204081632,0.8771551724137931
2,6,3,0.8673469387755102,0.875
2,6,4,0.9183673469387755,0.9238215488215489
2,6,5,0.8979591836734694,0.9021929824561403
2,6,6,0.9387755102040817,0.9381313131313133
3,3,3,0.8515625,0.8511661175438509
3,3,4,0.8415178571428571,0.8425007994883276
3,3,5,0.8482142857142857,0.8495192307692307
3,3,6,0.8470982142857143,0.8483801145091467
3,4,3,0.828125,0.8290173785124791
3,4,4,0.8303571428571429,0.830483138005262
3,4,5,0.8348214285714286,0.834651358637426
3,4,6,0.8158482142857143,0.8172405863179155
3,5,3,0.8236607142857143,0.8237882389288367
3,5,4,0.8236607142857143,0.8230337498691576
3,5,5,0.8191964285714286,0.8211913203087677
3,5,6,0.8180803571428571,0.8198884907209064
3,6,3,0.8169642857142857,0.8169932686606578
3,6,4,0.8247767857142857,0.8275226757369615
3,6,5,0.8191964285714286,0.8190684024381067
3,6,6,0.8125,0.8130356607731495
4,3,3,0.9767080745341615,0.97655217642395
4,3,4,0.9829192546583851,0.9825930255211377
4,3,5,0.9751552795031055,0.9755214819427149
4,3,6,0.9767080745341615,0.9774829931972788
4,4,3,0.9860248447204969,0.9858069276172724
4,4,4,0.9798136645962733,0.9793627522846112
4,4,5,0.9798136645962733,0.9805886066728182
4,4,6,0.9875776397515528,0.9882422568553956
4,5,3,0.9720496894409938,0.9723987155837945
4,5,4,0.9782608695652174,0.9786971830985917
4,5,5,0.9829192546583851,0.9832365481831762
4,5,6,0.9751552795031055,0.9755494505494505
4,6,3,0.9704968944099379,0.9702156961632462
4,6,4,0.9736024844720497,0.9752500793902826
4,6,5,0.9782608695652174,0.9769823485473915
4,6,6,0.9813664596273292,0.9818040132476135
5,3,3,0.9405780346820809,0.9406467097221496
5,3,4,0.9416184971098266,0.9416904616766658
5,3,5,0.9417919075144509,0.9419063904772059
5,3,6,0.9389595375722544,0.939076298603087
5,4,3,0.9417341040462428,0.9418639948443901
5,4,4,0.9406936416184971,0.940754009406058
5,4,5,0.9417341040462428,0.9418049300227664
5,4,6,0.9422543352601156,0.9423369760795861
5,5,3,0.9427745664739884,0.9428712670276131
5,5,4,0.9426589595375723,0.9427532064828663
5,5,5,0.9398843930635838,0.9400191694544802
5,5,6,0.9390751445086705,0.9390773767949216
5,6,3,0.9410404624277456,0.9410677426284851
5,6,4,0.9427745664739884,0.9429465782702173
5,6,5,0.9422543352601156,0.9424245914219426
5,6,6,0.9408670520231214,0.9408812861873027
