,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
0,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8058035714285714, ""auc"": 0.8058495266567016, ""fpr"": [0.0, 0.20175438596491227, 1.0], ""tpr"": [0.0, 0.8136363636363636, 1.0], ""mcc"": 0.6117905086556669, ""tnr"": 0.7982456140350878, ""ppv"": 0.7955555555555556, ""f_score"": 0.8044943820224719, ""ap"": 0.7388107864357865, ""brier"": 0.19419642857142858, ""sensitivity"": 0.8136363636363636}",0
1,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8069196428571429, ""auc"": 0.8069931986347443, ""fpr"": [0.0, 0.20175438596491227, 1.0], ""tpr"": [0.0, 0.8159090909090909, 1.0], ""mcc"": 0.6140705453405023, ""tnr"": 0.7982456140350878, ""ppv"": 0.7960088691796009, ""f_score"": 0.8058361391694725, ""ap"": 0.7398726585221873, ""brier"": 0.19308035714285715, ""sensitivity"": 0.8159090909090909}",0
2,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8270089285714286, ""auc"": 0.826963800792247, ""fpr"": [0.0, 0.17543859649122806, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.654017223677916, ""tnr"": 0.8245614035087719, ""ppv"": 0.8202247191011236, ""f_score"": 0.824858757062147, ""ap"": 0.7641190445790165, ""brier"": 0.17299107142857142, ""sensitivity"": 0.8295454545454546}",0
3,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8314732142857143, ""auc"": 0.8314282867037046, ""fpr"": [0.0, 0.17105263157894737, 1.0], ""tpr"": [0.0, 0.8340909090909091, 1.0], ""mcc"": 0.6629474192343838, ""tnr"": 0.8289473684210527, ""ppv"": 0.8247191011235955, ""f_score"": 0.8293785310734463, ""ap"": 0.7693639190865315, ""brier"": 0.16852678571428573, ""sensitivity"": 0.8340909090909091}",0
4,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8247767857142857, ""auc"": 0.8247315578365182, ""fpr"": [0.0, 0.17763157894736842, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6495521258996821, ""tnr"": 0.8223684210526315, ""ppv"": 0.8179775280898877, ""f_score"": 0.8225988700564971, ""ap"": 0.7615119290821538, ""brier"": 0.17522321428571427, ""sensitivity"": 0.8272727272727273}",0
5,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8225446428571429, ""auc"": 0.8224993148807892, ""fpr"": [0.0, 0.17982456140350878, 1.0], ""tpr"": [0.0, 0.825, 1.0], ""mcc"": 0.6450870281214484, ""tnr"": 0.8201754385964912, ""ppv"": 0.8157303370786517, ""f_score"": 0.8203389830508475, ""ap"": 0.7589150280898876, ""brier"": 0.17745535714285715, ""sensitivity"": 0.825}",0
6,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8203125, ""auc"": 0.8203340258989651, ""fpr"": [0.0, 0.18640350877192982, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6407686272549304, ""tnr"": 0.8135964912280702, ""ppv"": 0.8106904231625836, ""f_score"": 0.8188976377952756, ""ap"": 0.7554835059150204, ""brier"": 0.1796875, ""sensitivity"": 0.8272727272727273}",0
7,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8203125, ""auc"": 0.8205302633874062, ""fpr"": [0.0, 0.19298245614035087, 1.0], ""tpr"": [0.0, 0.8340909090909091, 1.0], ""mcc"": 0.6410844894148274, ""tnr"": 0.8070175438596491, ""ppv"": 0.8065934065934066, ""f_score"": 0.8201117318435753, ""ap"": 0.7542454420579421, ""brier"": 0.1796875, ""sensitivity"": 0.8340909090909091}",0
8,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8258928571428571, ""auc"": 0.8258391134497328, ""fpr"": [0.0, 0.17543859649122806, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6517561741788427, ""tnr"": 0.8245614035087719, ""ppv"": 0.8198198198198198, ""f_score"": 0.8235294117647058, ""ap"": 0.7630360067860068, ""brier"": 0.17410714285714285, ""sensitivity"": 0.8272727272727273}",0
9,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.828125, ""auc"": 0.8280642653537186, ""fpr"": [0.0, 0.17105263157894737, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6561743116034441, ""tnr"": 0.8289473684210527, ""ppv"": 0.8235294117647058, ""f_score"": 0.8253968253968254, ""ap"": 0.7661048510313216, ""brier"": 0.171875, ""sensitivity"": 0.8272727272727273}",0
10,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8270089285714286, ""auc"": 0.827030487835259, ""fpr"": [0.0, 0.17982456140350878, 1.0], ""tpr"": [0.0, 0.8340909090909091, 1.0], ""mcc"": 0.6541636536194957, ""tnr"": 0.8201754385964912, ""ppv"": 0.8173719376391982, ""f_score"": 0.8256467941507313, ""ap"": 0.7632357168165911, ""brier"": 0.17299107142857142, ""sensitivity"": 0.8340909090909091}",0
