,dataid,acc,protein_k,rna_k,top_ratio,training_score,tune_param,scores,auc
0,0,0.9433373349339735,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.85], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9433373349339735, ""auc"": 0.9445755038590559, ""fpr"": [0.0, 0.08428571428571428, 1.0], ""tpr"": [0.0, 0.9714285714285714, 1.0], ""mcc"": 0.8881463648625131, ""tnr"": 0.9157142857142857, ""ppv"": 0.918918918918919, ""f_score"": 0.9444444444444445, ""ap"": 0.9068297589305994, ""brier"": 0.05666266506602641, ""sensitivity"": 0.9714285714285714}",0.9445755038590559
1,1,0.8752212389380531,3,3,0.99,0.9975663716814159,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.97], ""lambda_l1"": [0.001], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8752212389380531, ""auc"": 0.8751852165114451, ""fpr"": [0.0, 0.1314878892733564, 1.0], ""tpr"": [0.0, 0.8822463768115942, 1.0], ""mcc"": 0.7505644352017203, ""tnr"": 0.8685121107266436, ""ppv"": 0.8650088809946714, ""f_score"": 0.8735426008968611, ""ap"": 0.8206730750612057, ""brier"": 0.12477876106194691, ""sensitivity"": 0.8822463768115942}",0.8751852165114451
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0.001], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.65], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.65], ""lambda_l1"": [0.01], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.65], ""lambda_l1"": [0.001], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0.01], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.7], ""lambda_l1"": [0], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.01], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
2,2,0.9387755102040817,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""lambda_l1"": [0.001], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9387755102040817, ""auc"": 0.9386733416770964, ""fpr"": [0.0, 0.06382978723404255, 1.0], ""tpr"": [0.0, 0.9411764705882353, 1.0], ""mcc"": 0.8773466833541927, ""tnr"": 0.9361702127659575, ""ppv"": 0.9411764705882353, ""f_score"": 0.9411764705882353, ""ap"": 0.9164253936868866, ""brier"": 0.061224489795918366, ""sensitivity"": 0.9411764705882353}",0.9386733416770964
