,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,acc,auc
0,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.9481392557022809, ""auc"": 0.9490983477060609, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9733268671193016, 1.0], ""mcc"": 0.897482848050151, ""tnr"": 0.9234427009034712, ""ppv"": 0.9257380073800738, ""f_score"": 0.948936170212766, ""ap"": 0.9142509566093573, ""brier"": 0.051860744297719086, ""sensitivity"": 0.9733268671193016}",0.9481392557022809,0.9490983477060609
1,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [200]}","{""acc"": 0.9481392557022809, ""auc"": 0.9489814769058253, ""fpr"": [0.0, 0.07513076557299096, 1.0], ""tpr"": [0.0, 0.9718719689621726, 1.0], ""mcc"": 0.8973518706727945, ""tnr"": 0.9248692344270091, ""ppv"": 0.9269195189639223, ""f_score"": 0.9488636363636364, ""ap"": 0.9147726681930284, ""brier"": 0.051860744297719086, ""sensitivity"": 0.9718719689621726}",0.9481392557022809,0.9489814769058253
2,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [500]}","{""acc"": 0.9459783913565426, ""auc"": 0.9468747113163972, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9704170708050437, 1.0], ""mcc"": 0.8930910879446388, ""tnr"": 0.9220161673799334, ""ppv"": 0.9242494226327944, ""f_score"": 0.9467707594038326, ""ap"": 0.9115532757479066, ""brier"": 0.05402160864345738, ""sensitivity"": 0.9704170708050437}",0.9459783913565426,0.9468747113163972
3,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [50]}","{""acc"": 0.9478991596638655, ""auc"": 0.9489609380919907, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9742967992240543, 1.0], ""mcc"": 0.8971170607123036, ""tnr"": 0.9220161673799334, ""ppv"": 0.9245283018867925, ""f_score"": 0.9487603305785124, ""ap"": 0.9134900553563665, ""brier"": 0.052100840336134456, ""sensitivity"": 0.9742967992240543}",0.9478991596638655,0.9489609380919907
4,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [200]}","{""acc"": 0.948859543817527, ""auc"": 0.9496840423733743, ""fpr"": [0.0, 0.07417974322396577, 1.0], ""tpr"": [0.0, 0.972356935014549, 1.0], ""mcc"": 0.8987724410238168, ""tnr"": 0.9258202567760342, ""ppv"": 0.927811198519204, ""f_score"": 0.949561922803694, ""ap"": 0.9158491274539843, ""brier"": 0.05114045618247299, ""sensitivity"": 0.972356935014549}",0.948859543817527,0.9496840423733743
5,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [500]}","{""acc"": 0.9464585834333733, ""auc"": 0.9473556581986143, ""fpr"": [0.0, 0.07750832144555397, 1.0], ""tpr"": [0.0, 0.9709020368574199, 1.0], ""mcc"": 0.8940522731793492, ""tnr"": 0.922491678554446, ""ppv"": 0.9247113163972286, ""f_score"": 0.9472439082091316, ""ap"": 0.9122098629000973, ""brier"": 0.05354141656662665, ""sensitivity"": 0.9709020368574199}",0.9464585834333733,0.9473556581986143
6,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.9481392557022809, ""auc"": 0.9490983477060609, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9733268671193016, 1.0], ""mcc"": 0.897482848050151, ""tnr"": 0.9234427009034712, ""ppv"": 0.9257380073800738, ""f_score"": 0.948936170212766, ""ap"": 0.9142509566093573, ""brier"": 0.051860744297719086, ""sensitivity"": 0.9733268671193016}",0.9481392557022809,0.9490983477060609
7,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [200]}","{""acc"": 0.9481392557022809, ""auc"": 0.9489814769058253, ""fpr"": [0.0, 0.07513076557299096, 1.0], ""tpr"": [0.0, 0.9718719689621726, 1.0], ""mcc"": 0.8973518706727945, ""tnr"": 0.9248692344270091, ""ppv"": 0.9269195189639223, ""f_score"": 0.9488636363636364, ""ap"": 0.9147726681930284, ""brier"": 0.051860744297719086, ""sensitivity"": 0.9718719689621726}",0.9481392557022809,0.9489814769058253
8,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [500]}","{""acc"": 0.9459783913565426, ""auc"": 0.9468747113163972, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9704170708050437, 1.0], ""mcc"": 0.8930910879446388, ""tnr"": 0.9220161673799334, ""ppv"": 0.9242494226327944, ""f_score"": 0.9467707594038326, ""ap"": 0.9115532757479066, ""brier"": 0.05402160864345738, ""sensitivity"": 0.9704170708050437}",0.9459783913565426,0.9468747113163972
9,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [50]}","{""acc"": 0.9478991596638655, ""auc"": 0.9489609380919907, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9742967992240543, 1.0], ""mcc"": 0.8971170607123036, ""tnr"": 0.9220161673799334, ""ppv"": 0.9245283018867925, ""f_score"": 0.9487603305785124, ""ap"": 0.9134900553563665, ""brier"": 0.052100840336134456, ""sensitivity"": 0.9742967992240543}",0.9478991596638655,0.9489609380919907
10,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [200]}","{""acc"": 0.948859543817527, ""auc"": 0.9496840423733743, ""fpr"": [0.0, 0.07417974322396577, 1.0], ""tpr"": [0.0, 0.972356935014549, 1.0], ""mcc"": 0.8987724410238168, ""tnr"": 0.9258202567760342, ""ppv"": 0.927811198519204, ""f_score"": 0.949561922803694, ""ap"": 0.9158491274539843, ""brier"": 0.05114045618247299, ""sensitivity"": 0.972356935014549}",0.948859543817527,0.9496840423733743
11,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [2000], ""num_leaves"": [500]}","{""acc"": 0.9464585834333733, ""auc"": 0.9473556581986143, ""fpr"": [0.0, 0.07750832144555397, 1.0], ""tpr"": [0.0, 0.9709020368574199, 1.0], ""mcc"": 0.8940522731793492, ""tnr"": 0.922491678554446, ""ppv"": 0.9247113163972286, ""f_score"": 0.9472439082091316, ""ap"": 0.9122098629000973, ""brier"": 0.05354141656662665, ""sensitivity"": 0.9709020368574199}",0.9464585834333733,0.9473556581986143
12,0,5,5,0.99,0.990574533229273,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.9428571428571428, ""auc"": 0.9435153842034214, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9641125121241513, 1.0], ""mcc"": 0.8865796092217827, ""tnr"": 0.9220161673799334, ""ppv"": 0.9237918215613383, ""f_score"": 0.9435215946843853, ""ap"": 0.9084063606079846, ""brier"": 0.05714285714285714, ""sensitivity"": 0.9641125121241513}",0.9428571428571428,0.9435153842034214
13,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [200]}","{""acc"": 0.9457382953181273, ""auc"": 0.9465036182443931, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9684772065955383, 1.0], ""mcc"": 0.8924634064010827, ""tnr"": 0.9234427009034712, ""ppv"": 0.9253938832252085, ""f_score"": 0.9464454976303318, ""ap"": 0.9118291255235466, ""brier"": 0.05426170468187275, ""sensitivity"": 0.9684772065955383}",0.9457382953181273,0.9465036182443931
14,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000], ""num_leaves"": [500]}","{""acc"": 0.943577430972389, ""auc"": 0.9443221550515601, ""fpr"": [0.0, 0.07845934379457917, 1.0], ""tpr"": [0.0, 0.9660523763336566, 1.0], ""mcc"": 0.8881185157697281, ""tnr"": 0.9215406562054208, ""ppv"": 0.9235048678720446, ""f_score"": 0.9442995970609149, ""ap"": 0.9089607948525639, ""brier"": 0.056422569027611044, ""sensitivity"": 0.9660523763336566}",0.943577430972389,0.9443221550515601
15,0,5,5,0.99,0.9995197214384343,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [50]}","{""acc"": 0.9457382953181273, ""auc"": 0.9464335430896088, ""fpr"": [0.0, 0.07560627674750357, 1.0], ""tpr"": [0.0, 0.9675072744907857, 1.0], ""mcc"": 0.892383911226206, ""tnr"": 0.9243937232524965, ""ppv"": 0.9261838440111421, ""f_score"": 0.9463946869070209, ""ap"": 0.9121760411704486, ""brier"": 0.05426170468187275, ""sensitivity"": 0.9675072744907857}",0.9457382953181273,0.9464335430896088
16,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [200]}","{""acc"": 0.9476590636254502, ""auc"": 0.9484633324097164, ""fpr"": [0.0, 0.07513076557299096, 1.0], ""tpr"": [0.0, 0.9709020368574199, 1.0], ""mcc"": 0.8963487818891742, ""tnr"": 0.9248692344270091, ""ppv"": 0.9268518518518518, ""f_score"": 0.9483657034580767, ""ap"": 0.9142881131329565, ""brier"": 0.05234093637454982, ""sensitivity"": 0.9709020368574199}",0.9476590636254502,0.9484633324097164
17,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [2000], ""num_leaves"": [500]}","{""acc"": 0.9440576230492197, ""auc"": 0.9448752887561295, ""fpr"": [0.0, 0.07893485496909178, 1.0], ""tpr"": [0.0, 0.9675072744907857, 1.0], ""mcc"": 0.8891613033813902, ""tnr"": 0.9210651450309082, ""ppv"": 0.923183711244794, ""f_score"": 0.9448259531139002, ""ap"": 0.9092733908945687, ""brier"": 0.05594237695078031, ""sensitivity"": 0.9675072744907857}",0.9440576230492197,0.9448752887561295
18,0,5,5,0.99,0.990574533229273,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [50]}","{""acc"": 0.9428571428571428, ""auc"": 0.9435153842034214, ""fpr"": [0.0, 0.07798383262006657, 1.0], ""tpr"": [0.0, 0.9641125121241513, 1.0], ""mcc"": 0.8865796092217827, ""tnr"": 0.9220161673799334, ""ppv"": 0.9237918215613383, ""f_score"": 0.9435215946843853, ""ap"": 0.9084063606079846, ""brier"": 0.05714285714285714, ""sensitivity"": 0.9641125121241513}",0.9428571428571428,0.9435153842034214
19,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""max_bin"": [256], ""n_estimators"": [1000], ""num_iterations"": [1000], ""num_leaves"": [200]}","{""acc"": 0.9457382953181273, ""auc"": 0.9465036182443931, ""fpr"": [0.0, 0.07655729909652877, 1.0], ""tpr"": [0.0, 0.9684772065955383, 1.0], ""mcc"": 0.8924634064010827, ""tnr"": 0.9234427009034712, ""ppv"": 0.9253938832252085, ""f_score"": 0.9464454976303318, ""ap"": 0.9118291255235466, ""brier"": 0.05426170468187275, ""sensitivity"": 0.9684772065955383}",0.9457382953181273,0.9465036182443931
