,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores
0,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9524609843937575, ""auc"": 0.9535220432279685, ""fpr"": [0.0, 0.06943765281173594, 1.0], ""tpr"": [0.0, 0.9735849056603774, 1.0], ""mcc"": 0.905594511346961, ""tnr"": 0.930562347188264, ""ppv"": 0.9356300997280145, ""f_score"": 0.9542302357836339, ""ap"": 0.9243607205279689, ""brier"": 0.0475390156062425, ""sensitivity"": 0.9735849056603774}"
1,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9500600240096039, ""auc"": 0.9509849667592796, ""fpr"": [0.0, 0.07097715119105494, 1.0], ""tpr"": [0.0, 0.9705882352941176, 1.0], ""mcc"": 0.9007897366872017, ""tnr"": 0.929022848808945, ""ppv"": 0.9333941605839416, ""f_score"": 0.9516279069767442, ""ap"": 0.9208273455367548, ""brier"": 0.04993997599039616, ""sensitivity"": 0.9705882352941176}"
2,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.946218487394958, ""auc"": 0.9475036889130805, ""fpr"": [0.0, 0.07916464303059738, 1.0], ""tpr"": [0.0, 0.9710351377018044, 1.0], ""mcc"": 0.8934375595396682, ""tnr"": 0.9208353569694027, ""ppv"": 0.926177536231884, ""f_score"": 0.9480760315252665, ""ap"": 0.9139967897745828, ""brier"": 0.05378151260504202, ""sensitivity"": 0.9710351377018044}"
3,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9438175270108043, ""auc"": 0.9452262380699281, ""fpr"": [0.0, 0.08722300801508723, 1.0], ""tpr"": [0.0, 0.976027397260274, 1.0], ""mcc"": 0.889628051045688, ""tnr"": 0.9127769919849128, ""ppv"": 0.9151376146788991, ""f_score"": 0.9446022727272727, ""ap"": 0.9049640900723743, ""brier"": 0.05618247298919568, ""sensitivity"": 0.976027397260274}"
4,0,5,5,0.99,1.0,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.1], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.9553421368547419, ""auc"": 0.956399199640088, ""fpr"": [0.0, 0.06614404703576678, 1.0], ""tpr"": [0.0, 0.9759887005649718, 1.0], ""mcc"": 0.9113203297057981, ""tnr"": 0.9338559529642332, ""ppv"": 0.938858695652174, ""f_score"": 0.9570637119113573, ""ap"": 0.9285603763428733, ""brier"": 0.0446578631452581, ""sensitivity"": 0.9759887005649718}"
5,1,3,3,0.99,0.9984513274336283,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8725663716814159, ""auc"": 0.8727856624883457, ""fpr"": [0.0, 0.14156079854809436, 1.0], ""tpr"": [0.0, 0.8860103626943006, 1.0], ""mcc"": 0.7450102334322711, ""tnr"": 0.8584392014519057, ""ppv"": 0.868020304568528, ""f_score"": 0.876923076923077, ""ap"": 0.8274820645227964, ""brier"": 0.12743362831858407, ""sensitivity"": 0.8860103626943006}"
6,1,3,3,0.99,0.9977876106194691,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8814159292035398, ""auc"": 0.881244829920036, ""fpr"": [0.0, 0.11355311355311355, 1.0], ""tpr"": [0.0, 0.8767123287671232, 1.0], ""mcc"": 0.7628243640657703, ""tnr"": 0.8864468864468864, ""ppv"": 0.89198606271777, ""f_score"": 0.8842832469775475, ""ap"": 0.8457319924324055, ""brier"": 0.11858407079646018, ""sensitivity"": 0.8767123287671232}"
7,1,3,3,0.99,0.9984513274336283,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8787610619469026, ""auc"": 0.8788801965799108, ""fpr"": [0.0, 0.13012477718360071, 1.0], ""tpr"": [0.0, 0.8875219683655536, 1.0], ""mcc"": 0.7575787704048874, ""tnr"": 0.8698752228163993, ""ppv"": 0.8737024221453287, ""f_score"": 0.8805579773321709, ""ap"": 0.8320672616097669, ""brier"": 0.12123893805309735, ""sensitivity"": 0.8875219683655536}"
8,1,3,3,0.99,0.9988938053097345,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8831858407079646, ""auc"": 0.8833333333333334, ""fpr"": [0.0, 0.1310344827586207, 1.0], ""tpr"": [0.0, 0.8981818181818182, 1.0], ""mcc"": 0.766906963386771, ""tnr"": 0.8689655172413793, ""ppv"": 0.8666666666666667, ""f_score"": 0.8821428571428571, ""ap"": 0.8279817645481362, ""brier"": 0.1168141592920354, ""sensitivity"": 0.8981818181818182}"
9,1,3,3,0.99,0.9984513274336283,"{""boosting_type"": [""gbdt""], ""learning_rate"": [0.01], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8769911504424779, ""auc"": 0.878169129101965, ""fpr"": [0.0, 0.15114235500878734, 1.0], ""tpr"": [0.0, 0.9055258467023173, 1.0], ""mcc"": 0.7553602426162521, ""tnr"": 0.8488576449912126, ""ppv"": 0.8552188552188552, ""f_score"": 0.8796536796536796, ""ap"": 0.821325432855097, ""brier"": 0.12300884955752213, ""sensitivity"": 0.9055258467023173}"
10,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8163265306122449, ""auc"": 0.820125786163522, ""fpr"": [0.0, 0.1276595744680851, 1.0], ""tpr"": [0.0, 0.7647058823529411, 1.0], ""mcc"": 0.6386469292718923, ""tnr"": 0.8723404255319149, ""ppv"": 0.8666666666666667, ""f_score"": 0.8125, ""ap"": 0.7851940776310524, ""brier"": 0.1836734693877551, ""sensitivity"": 0.7647058823529411}"
11,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.8673469387755102, ""auc"": 0.8683333333333334, ""fpr"": [0.0, 0.08888888888888889, 1.0], ""tpr"": [0.0, 0.8301886792452831, 1.0], ""mcc"": 0.7389795975279315, ""tnr"": 0.9111111111111111, ""ppv"": 0.9166666666666666, ""f_score"": 0.8712871287128713, ""ap"": 0.8528430240020537, ""brier"": 0.1326530612244898, ""sensitivity"": 0.8301886792452831}"
12,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.7959183673469388, ""auc"": 0.7949999999999999, ""fpr"": [0.0, 0.2222222222222222, 1.0], ""tpr"": [0.0, 0.8181818181818182, 1.0], ""mcc"": 0.5929723110029351, ""tnr"": 0.7777777777777778, ""ppv"": 0.75, ""f_score"": 0.7826086956521738, ""ap"": 0.6952690166975881, ""brier"": 0.20408163265306123, ""sensitivity"": 0.8181818181818182}"
13,2,4,4,0.96,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.5], ""lambda_l1"": [0.1], ""learning_rate"": [0.1], ""max_bin"": [256], ""n_estimators"": [500], ""num_iterations"": [1000]}","{""acc"": 0.9081632653061225, ""auc"": 0.9079166666666668, ""fpr"": [0.0, 0.09803921568627451, 1.0], ""tpr"": [0.0, 0.9148936170212766, 1.0], ""mcc"": 0.8163437076925009, ""tnr"": 0.9019607843137255, ""ppv"": 0.8958333333333334, ""f_score"": 0.9052631578947369, ""ap"": 0.8604085251121726, ""brier"": 0.09183673469387756, ""sensitivity"": 0.9148936170212766}"
